GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Yawg core,com.varmateo.yawg.core,DirBaker,49,182,3,5,11,43,5,14,2,13
Yawg core,com.varmateo.yawg.core,TemplateNameMatcher,15,15,0,0,4,5,2,3,2,3
Yawg core,com.varmateo.yawg.core,FileBaker,35,96,3,1,5,24,7,5,5,5
Yawg core,com.varmateo.yawg.core,TemplateNameMatcher.Builder,9,12,0,0,2,4,1,2,1,2
Yawg core,com.varmateo.yawg.core,CopyPageBaker,34,0,0,0,11,0,6,0,6,0
Yawg core,com.varmateo.yawg.core,DefaultSiteBakerModule,57,0,0,0,14,0,8,0,8,0
Yawg core,com.varmateo.yawg.core,CopyPageBakerException,50,0,0,0,7,0,5,0,5,0
Yawg core,com.varmateo.yawg.core,DirBakerContext,0,102,0,0,0,27,0,6,0,6
Yawg core,com.varmateo.yawg.core,CollectiveDirBakeListener,0,51,0,0,0,17,0,8,0,8
Yawg core,com.varmateo.yawg.core,FileBakerException,18,0,0,0,4,0,2,0,2,0
Yawg core,com.varmateo.yawg.core,CoreSiteBaker,81,0,0,0,23,0,8,0,8,0
Yawg core,com.varmateo.yawg.core,BakerMatcher,14,59,0,0,4,10,2,7,2,7
Yawg core,com.varmateo.yawg.core,DirEntryChecker,0,96,0,8,0,19,0,14,0,10
Yawg core,com.varmateo.yawg.core,CollectiveTemplateService,56,0,4,0,16,0,9,0,7,0
Yawg core,com.varmateo.yawg.core,DefaultExtensionsModule,84,0,0,0,25,0,10,0,10,0
Yawg core,com.varmateo.yawg.core,DirBakeOptions.Builder,0,209,0,0,0,61,0,23,0,23
Yawg core,com.varmateo.yawg.core,DirPageContextBuilder,43,83,1,1,7,28,8,4,7,4
Yawg core,com.varmateo.yawg.core,DirBakeOptions,5,114,0,0,0,25,1,5,1,5
Yawg core,com.varmateo.yawg.breadcrumbs,BreadcrumbsBakeListener,123,0,2,0,28,0,13,0,12,0
Yawg core,com.varmateo.yawg.breadcrumbs,BreadcrumbItem,15,0,0,0,6,0,3,0,3,0
Yawg core,com.varmateo.yawg.breadcrumbs,Breadcrumbs,25,0,0,0,7,0,5,0,5,0
Yawg core,com.varmateo.yawg.breadcrumbs,Breadcrumbs.Builder,30,0,0,0,9,0,4,0,4,0
